code,trust_name,total_waiting_list,Date
NT202,"Nuffield Health, Bournemouth Hospital",0,2020-10-01
NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",9,2020-10-01
NT211,"Nuffield Health, Cheltenham Hospital",0,2020-10-01
NT215,"Nuffield Health, Exeter Hospital",0,2020-10-01
NT238,"Nuffield Health, Taunton Hospital",0,2020-10-01
NEF,Peninsula Ultrasound Limited,1911,2020-10-01
NTPH2,Practice Plus Group Hospital - Emersons Green,392,2020-10-01
NTPH5,Practice Plus Group Hospital - Plymouth,110,2020-10-01
NTPH1,Practice Plus Group Hospital - Shepton Mallet,231,2020-10-01
NTPH3,Practice Plus Group Surgical Centre - Devizes,224,2020-10-01
REF,Royal Cornwall Hospitals NHS Trust,7172,2020-10-01
RH8,Royal Devon and Exeter NHS Foundation Trust,4870,2020-10-01
RD1,Royal United Hospitals Bath NHS Foundation Trust,11379,2020-10-01
RNZ,Salisbury NHS Foundation Trust,3461,2020-10-01
RH5,Somerset NHS Foundation Trust,6311,2020-10-01
NT302,Spire Bristol Hospital,20,2020-10-01
NQT5K,St Martins Hospital,285,2020-10-01
AAH,Tetbury Hospital Trust Ltd,1,2020-10-01
NFC01,The Outside Clinic HQ,675,2020-10-01
RA9,Torbay and South Devon NHS Foundation Trust,3770,2020-10-01
DTM,Ultracardiac Ltd,217,2020-10-01
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,14601,2020-10-01
R0D,University Hospitals Dorset NHS Foundation Trust,5928,2020-10-01
RK9,University Hospitals Plymouth NHS Trust,8071,2020-10-01
NVC22,Winfield Hospital,7,2020-10-01
RA4,Yeovil District Hospital NHS Foundation Trust,2088,2020-10-01
NWT,Action For Deafness,425,2020-10-01
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,7706,2020-10-01
NVC01,Ashtead Hospital,6,2020-10-01
NWF01,Benenden Hospital,0,2020-10-01
RWX,Berkshire Healthcare NHS Foundation Trust,353,2020-10-01
DN4,Berkshire West Community Endoscopy Service,0,2020-10-01
NT417,BMI - Goring Hall Hospital,1,2020-10-01
NT433,BMI - Sarum Road Hospital,0,2020-10-01
NT408,BMI - The Chaucer Hospital,12,2020-10-01
NT410,BMI - The Chiltern Hospital,4,2020-10-01
NT418,BMI - The Hampshire Clinic,4,2020-10-01
NT428,BMI - The Princess Margaret Hospital,3,2020-10-01
NT431,BMI - The Runnymede Hospital,0,2020-10-01
NT435,BMI - The Shelburne Hospital,0,2020-10-01
NT455,BMI Mount Alvernia Hospital,3,2020-10-01
RXH,Brighton and Sussex University Hospitals NHS Trust,9369,2020-10-01
RXQ,Buckinghamshire Healthcare NHS Trust,4239,2020-10-01
NV323,Circle Reading Hospital,220,2020-10-01
RN7,Dartford and Gravesham NHS Trust,6102,2020-10-01
NGD01,Diagnostic Ultrasound Services,0,2020-10-01
NNE,Dorking Healthcare Limited (DHC),122,2020-10-01
RVV,East Kent Hospitals University NHS Foundation Trust,16518,2020-10-01
RXC,East Sussex Healthcare NHS Trust,7860,2020-10-01
NVM,Epsomedical Group,122,2020-10-01
NDJ,First Community Health and Care CIC,239,2020-10-01
RDU,Frimley Health NHS Foundation Trust,11286,2020-10-01
ATK,GP Health Partners Ltd,102,2020-10-01
RN5,Hampshire Hospitals NHS Foundation Trust,6161,2020-10-01
NWX,Here,66,2020-10-01
NVC25,Horton NHS Treatment Centre,5,2020-10-01
NV1,Inhealth Limited,25910,2020-10-01
NHA,Insidevue Limited,66,2020-10-01
R1F,Isle of Wight NHS Trust,2162,2020-10-01
G82114,Ivy Court Surgery,0,2020-10-01
RYY,Kent Community Health NHS Foundation Trust,204,2020-10-01
ADP02,Kims Hospital (Newnham Court),124,2020-10-01
RWF,Maidstone and Tunbridge Wells NHS Trust,7627,2020-10-01
DC8,Medical Imaging Partnership Ltd,482,2020-10-01
RPA,Medway NHS Foundation Trust,5188,2020-10-01
NVC11,North Downs Hospital,16,2020-10-01
NT205,"Nuffield Health, Brighton Hospital",3,2020-10-01
NT212,"Nuffield Health, Chichester Hospital",0,2020-10-01
NT218,"Nuffield Health, Haywards Heath Hospital",4,2020-10-01
NT241,"Nuffield Health, Woking Hospital",0,2020-10-01
NT244,Nuffield Hospital Oxford (The Manor),1,2020-10-01
RTH,Oxford University Hospitals NHS Foundation Trust,13553,2020-10-01
RPG,Oxleas NHS Foundation Trust,189,2020-10-01
H82017,Park Surgery,248,2020-10-01
RHU,Portsmouth Hospitals University National Health Service Trust,6368,2020-10-01
NTP11,Practice Plus Group Hospital - Southampton,456,2020-10-01
NTP16,Practice Plus Group Surgical Centre - Gillingham,160,2020-10-01
NTPAD,Practice Plus Group Surgical Centre - St Marys Portsmouth,1187,2020-10-01
RPC,Queen Victoria Hospital NHS Foundation Trust,712,2020-10-01
RHW,Royal Berkshire NHS Foundation Trust,5295,2020-10-01
RA2,Royal Surrey County Hospital NHS Foundation Trust,4431,2020-10-01
R1C,Solent NHS Trust,586,2020-10-01
RW1,Southern Health NHS Foundation Trust,875,2020-10-01
Y8L9S,Spamedica Bromley,0,2020-10-01
NT312,Spire Alexandra Hospital,199,2020-10-01
NT345,Spire Clare Park Hospital,8,2020-10-01
NT344,Spire Dunedin Hospital,43,2020-10-01
NT308,Spire Gatwick Park Hospital,5,2020-10-01
NT364,Spire Montefiore Hospital,2,2020-10-01
NT305,Spire Portsmouth Hospital,19,2020-10-01
NT304,Spire Southampton Hospital,35,2020-10-01
NT309,Spire Sussex Hospital,14,2020-10-01
NT343,Spire Thames Valley Hospital,5,2020-10-01
NT310,Spire Tunbridge Wells Hospital,8,2020-10-01
RTP,Surrey and Sussex Healthcare NHS Trust,4861,2020-10-01
RDR,Sussex Community NHS Foundation Trust,1852,2020-10-01
NL2,Sussex Health Care Audiology Ltd,164,2020-10-01
NMC01,Sussex Medical Centre Ltd (Clive Avenue),1820,2020-10-01
AJX,Sussex MSK Partnership 2,177,2020-10-01
G82050,Sydenham House Medical Centre,0,2020-10-01
NVC02,The Berkshire Independent Hospital,7,2020-10-01
NXM01,The Horder Centre - St Johns Road,7,2020-10-01
RHM,University Hospital Southampton NHS Foundation Trust,9361,2020-10-01
RYR,Western Sussex Hospitals NHS Foundation Trust,9855,2020-10-01
G82729,White Cliffs Medical Centre,97,2020-10-01
G82071,Whitstable Medical Practice,138,2020-10-01
RQ3,Birmingham Women's and Children's NHS Foundation Trust,2279,2020-10-01
NT412,BMI - The Droitwich Spa Hospital,34,2020-10-01
NT424,BMI - The Meriden Hospital,45,2020-10-01
NT427,BMI - The Park Hospital,12,2020-10-01
NT429,BMI - The Priory Hospital,3,2020-10-01
NT441,BMI - Three Shires Hospital,17,2020-10-01
NT445,BMI The Edgbaston Hospital,0,2020-10-01
NT450,BMI The Lincoln Hospital,43,2020-10-01
NVC27,Boston West Hospital,0,2020-10-01
RFS,Chesterfield Royal Hospital NHS Foundation Trust,5903,2020-10-01
RYG,Coventry and Warwickshire Partnership NHS Trust,75,2020-10-01
NEP,Diagnostic World Ltd,1061,2020-10-01
RLT,George Eliot Hospital NHS Trust,3014,2020-10-01
NO001,Healthharmonie Limited HQ,174,2020-10-01
RNQ,Kettering General Hospital NHS Foundation Trust,5616,2020-10-01
RT5,Leicestershire Partnership NHS Trust,1598,2020-10-01
DAY01,LLR Provider Company,1804,2020-10-01
RRE,Midlands Partnership NHS Foundation Trust,216,2020-10-01
RNS,Northampton General Hospital NHS Trust,6864,2020-10-01
RX1,Nottingham University Hospitals NHS Trust,19453,2020-10-01
NT213,"Nuffield Health, Derby Hospital",6,2020-10-01
NT219,"Nuffield Health, Hereford Hospital",0,2020-10-01
NT226,"Nuffield Health, Leicester Hospital",2,2020-10-01
NT230,"Nuffield Health, North Staffordshire Hospital",2,2020-10-01
NT235,"Nuffield Health, Shrewsbury Hospital",0,2020-10-01
NT224,"Nuffield Health, Warwickshire Hospital",6,2020-10-01
NT242,"Nuffield Health, Wolverhampton Hospital",1,2020-10-01
NXV,Physiological Measurements Ltd,6490,2020-10-01
NTP13,Practice Plus Group Hospital - Barlborough,56,2020-10-01
NVC17,Rowley Hall Hospital,75,2020-10-01
RXK,Sandwell and West Birmingham Hospitals NHS Trust,9961,2020-10-01
NXX,Scrivens Ltd,1268,2020-10-01
RK5,Sherwood Forest Hospitals NHS Foundation Trust,7603,2020-10-01
R1D,Shropshire Community Health NHS Trust,582,2020-10-01
RJC,South Warwickshire NHS Foundation Trust,4408,2020-10-01
NPG11,Spamedica (Birmingham),0,2020-10-01
NPG21,Spamedica Coventry,0,2020-10-01
NPG23,Spamedica Derby,0,2020-10-01
NPG15,Spamedica Newcastle-Under-Lyme,0,2020-10-01
NPG20,Spamedica Wolverhampton,0,2020-10-01
NYN,Specsavers Hearcare Group Ltd,2045,2020-10-01
NT322,Spire Leicester Hospital,20,2020-10-01
NT321,Spire Little Aston Hospital,70,2020-10-01
NT30A,Spire Nottingham Hospital,41,2020-10-01
NT320,Spire Parkway Hospital,113,2020-10-01
NT301,Spire South Bank Hospital,119,2020-10-01
RNA,The Dudley Group NHS Foundation Trust,7915,2020-10-01
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,887,2020-10-01
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,1162,2020-10-01
RL4,The Royal Wolverhampton NHS Trust,12581,2020-10-01
RXW,The Shrewsbury and Telford Hospital NHS Trust,12104,2020-10-01
RWD,United Lincolnshire Hospitals NHS Trust,14522,2020-10-01
RRK,University Hospitals Birmingham NHS Foundation Trust,20337,2020-10-01
RKB,University Hospitals Coventry and Warwickshire NHS Trust,10124,2020-10-01
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,13995,2020-10-01
RWE,University Hospitals of Leicester NHS Trust,21711,2020-10-01
RJE,University Hospitals of North Midlands NHS Trust,13645,2020-10-01
RBK,Walsall Healthcare NHS Trust,4779,2020-10-01
NVC21,West Midlands Hospital,143,2020-10-01
NVC23,Woodland Hospital,149,2020-10-01
NVC40,Woodthorpe Hospital,223,2020-10-01
RWP,Worcestershire Acute Hospitals NHS Trust,11984,2020-10-01
RLQ,Wye Valley NHS Trust,4326,2020-10-01
NT933,Alliance Medical MRI Service - Essex,0,2020-10-01
RC9,Bedfordshire Hospitals NHS Foundation Trust,10597,2020-10-01
NVC31,Blakelands Hospital,108,2020-10-01
NT423,BMI - The Manor Hospital,7,2020-10-01
NT432,BMI - The Sandringham Hospital,0,2020-10-01
NT434,BMI - The Saxon Clinic,0,2020-10-01
NT446,BMI St Edmunds Hospital,0,2020-10-01
RGT,Cambridge University Hospitals NHS Foundation Trust,15024,2020-10-01
RYV,Cambridgeshire Community Services NHS Trust,668,2020-10-01
RWH,East and North Hertfordshire NHS Trust,10755,2020-10-01
RDE,East Suffolk and North Essex NHS Foundation Trust,9298,2020-10-01
NVC06,Fitzwilliam Hospital,56,2020-10-01
NYR,Healthshare Diagnostics,5897,2020-10-01
RGP,James Paget University Hospitals NHS Foundation Trust,5265,2020-10-01
RAJ,Mid and South Essex NHS Foundation Trust,23924,2020-10-01
RD8,Milton Keynes University Hospital NHS Foundation Trust,6934,2020-10-01
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,16469,2020-10-01
RGN,North West Anglia NHS Foundation Trust,13307,2020-10-01
NT204,"Nuffield Health, Brentwood Hospital",0,2020-10-01
NT209,"Nuffield Health, Cambridge Hospital",0,2020-10-01
NVC13,Oaks Hospital,14,2020-10-01
NVC15,Pinehill Hospital,50,2020-10-01
NQA,Provide,260,2020-10-01
NVC19,Rivers Hospital,5,2020-10-01
RGM,Royal Papworth Hospital NHS Foundation Trust,920,2020-10-01
NPG19,Spamedica Bedford,0,2020-10-01
NPG16,Spamedica Chelmsford,0,2020-10-01
NT315,Spire Bushey Hospital,71,2020-10-01
NT317,Spire Cambridge Lea Hospital,11,2020-10-01
NT316,Spire Harpenden Hospital,105,2020-10-01
NT319,Spire Hartswood Hospital,35,2020-10-01
NT313,Spire Wellesley Hospital,232,2020-10-01
NVC18,Springfield Hospital,58,2020-10-01
NDL01,Suffolk GP Federation - Woodbridge,1217,2020-10-01
RQW,The Princess Alexandra Hospital NHS Trust,8422,2020-10-01
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6299,2020-10-01
RWG,West Hertfordshire Hospitals NHS Trust,7666,2020-10-01
RGR,West Suffolk NHS Foundation Trust,6869,2020-10-01
RBS,Alder Hey Children's NHS Foundation Trust,282,2020-10-01
NRP,Beacon Medical Services Group Limited,215,2020-10-01
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,5179,2020-10-01
NT401,BMI - The Alexandra Hospital,91,2020-10-01
NT403,BMI - The Beardwood Hospital,41,2020-10-01
NT404,BMI - The Beaumont Hospital,25,2020-10-01
NT420,BMI - The Highfield Hospital,45,2020-10-01
NT497,BMI Gisburne Park Hospital,0,2020-10-01
NT449,BMI The Lancaster Hospital,0,2020-10-01
RMC,Bolton NHS Foundation Trust,4733,2020-10-01
RY2,Bridgewater Community Healthcare NHS Foundation Trust,335,2020-10-01
RJR,Countess of Chester Hospital NHS Foundation Trust,4867,2020-10-01
DKE,Curx Health Limited,96,2020-10-01
NEM,Diagnostic Healthcare Ltd,3361,2020-10-01
RJN,East Cheshire NHS Trust,5047,2020-10-01
RXR,East Lancashire Hospitals NHS Trust,11391,2020-10-01
NVC05,Euxton Hall Hospital,310,2020-10-01
NVG01,Fairfield Hospital,36,2020-10-01
NVC07,Fulwood Hall Hospital,241,2020-10-01
NLE06,Glodwick Primary Care Centre,319,2020-10-01
NFO,Kleyn Healthcare,0,2020-10-01
RW5,Lancashire & South Cumbria NHS Foundation Trust,178,2020-10-01
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,12104,2020-10-01
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,1108,2020-10-01
REM,Liverpool University Hospitals NHS Foundation Trust,12726,2020-10-01
REP,Liverpool Women's NHS Foundation Trust,361,2020-10-01
NN5,Manchester Surgical Services Ltd,89,2020-10-01
R0A,Manchester University NHS Foundation Trust,20442,2020-10-01
C81081,Manor House Surgery,55,2020-10-01
NBG,Mediscan Diagnostics Services Limited,2860,2020-10-01
RBT,Mid Cheshire Hospitals NHS Foundation Trust,7589,2020-10-01
NV10Y,North West Cats - Inhealth Pathway Management Centre,2253,2020-10-01
NT210,"Nuffield Health, The Grosvenor Hospital, Chester",3,2020-10-01
NVC12,Oaklands Hospital,106,2020-10-01
NV6,PDS Medical Ltd,73,2020-10-01
RW6,Pennine Acute Hospitals NHS Trust,23335,2020-10-01
NVC16,Renacres Hospital,189,2020-10-01
RM3,Salford Royal NHS Foundation Trust,12056,2020-10-01
NFB,Scan Assure Medical Ultrasound Limited,616,2020-10-01
RVY,Southport and Ormskirk Hospital NHS Trust,2960,2020-10-01
NPG13,Spamedica - Skelmersdale,0,2020-10-01
NPG08,Spamedica (Bolton),0,2020-10-01
NPG01,Spamedica (Manchester),0,2020-10-01
NPG02,Spamedica (Wirral),0,2020-10-01
NPG06,Spamedica Liverpool,0,2020-10-01
NPG17,Spamedica Preston,0,2020-10-01
NPG14,Spamedica Widnes,0,2020-10-01
NT324,Spire Cheshire Hospital,120,2020-10-01
NT347,Spire Fylde Coast Hospital,48,2020-10-01
NT337,Spire Liverpool Hospital,377,2020-10-01
NT327,Spire Manchester Hospital,62,2020-10-01
NT325,Spire Murrayfield Hospital,75,2020-10-01
NT339,Spire Regency Hospital,173,2020-10-01
RBN,St Helens and Knowsley Teaching Hospitals NHS Trust,9929,2020-10-01
RWJ,Stockport NHS Foundation Trust,11403,2020-10-01
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,4749,2020-10-01
RBV,The Christie NHS Foundation Trust,292,2020-10-01
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,20,2020-10-01
NPF01,The Industrial Diagnostics Company,14,2020-10-01
RET,The Walton Centre NHS Foundation Trust,955,2020-10-01
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,5966,2020-10-01
RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,10012,2020-10-01
RY7,Wirral Community Health and Care NHS Foundation Trust,159,2020-10-01
RBL,Wirral University Teaching Hospital NHS Foundation Trust,6700,2020-10-01
RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",5356,2020-10-01
AAF,360 Care Ltd,460,2020-10-01
RCF,Airedale NHS Foundation Trust,3162,2020-10-01
RFF,Barnsley Hospital NHS Foundation Trust,3598,2020-10-01
NT440,BMI - Thornbury Hospital,39,2020-10-01
NT447,BMI The Duchy Hospital,4,2020-10-01
NT448,BMI The Huddersfield Hospital,12,2020-10-01
NT457,BMI Woodlands Hospital,42,2020-10-01
RAE,Bradford Teaching Hospitals NHS Foundation Trust,8551,2020-10-01
RWY,Calderdale and Huddersfield NHS Foundation Trust,10900,2020-10-01
NVC28,Clifton Park Hospital,0,2020-10-01
NVC29,Cobalt Hospital,44,2020-10-01
RXP,County Durham and Darlington NHS Foundation Trust,8372,2020-10-01
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,13036,2020-10-01
RR7,Gateshead Health NHS Foundation Trust,5021,2020-10-01
A84031,Greystoke Surgery,0,2020-10-01
RCD,Harrogate and District NHS Foundation Trust,4270,2020-10-01
RWA,Hull University Teaching Hospitals NHS Trust,10309,2020-10-01
RY6,Leeds Community Healthcare NHS Trust,750,2020-10-01
RR8,Leeds Teaching Hospitals NHS Trust,14356,2020-10-01
RXF,Mid Yorkshire Hospitals NHS Trust,6332,2020-10-01
NX2,Minor Ops Ltd,21,2020-10-01
RNN,North Cumbria Integrated Care NHS Foundation Trust,12923,2020-10-01
RVW,North Tees and Hartlepool NHS Foundation Trust,4086,2020-10-01
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,18307,2020-10-01
RTF,Northumbria Healthcare NHS Foundation Trust,8528,2020-10-01
NQH,Novus Health Ltd,0,2020-10-01
NT225,"Nuffield Health, Leeds Hospital",20,2020-10-01
NT229,"Nuffield Health, Newcastle Upon Tyne Hospital",7,2020-10-01
NT237,"Nuffield Health, Tees Hospital",2,2020-10-01
NT245,"Nuffield Health, York Hospital",9,2020-10-01
NVC14,Park Hill Hospital,0,2020-10-01
NEQ,Phoenix Health Solutions Limited HQ,201,2020-10-01
NEY,Pioneer Healthcare Limited,29,2020-10-01
RCU,Sheffield Children's NHS Foundation Trust,1132,2020-10-01
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,11790,2020-10-01
RTR,South Tees Hospitals NHS Foundation Trust,8449,2020-10-01
R0B,South Tyneside and Sunderland NHS Foundation Trust,8052,2020-10-01
RXG,South West Yorkshire Partnership NHS Foundation Trust,198,2020-10-01
NPG10,Spamedica (Sheffiled),0,2020-10-01
NPG12,Spamedica Eccleshill Treatment Centre,0,2020-10-01
NPG07,Spamedica Eye Hospital (Wakefield),0,2020-10-01
NPG18,Spamedica Hull,0,2020-10-01
NPG22,Spamedica Stockton-On-Tees,0,2020-10-01
NT348,Spire Elland Hospital,120,2020-10-01
NT351,Spire Hull and East Riding Hospital,175,2020-10-01
NT332,Spire Leeds Hospital,32,2020-10-01
NT350,Spire Methley Park Hospital,39,2020-10-01
NT333,Spire Washington Hospital,126,2020-10-01
NVC0R,Tees Valley Hospital,64,2020-10-01
AJ8,The Grange Medical Centre HQ,112,2020-10-01
NID,The Living Care Group,0,2020-10-01
RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,10580,2020-10-01
RFR,The Rotherham NHS Foundation Trust,6107,2020-10-01
NVC20,The Yorkshire Clinic,193,2020-10-01
NN4,Tyneside Surgical Services Ltd,138,2020-10-01
AGA,Westcliffe Health Innovations Ltd,33,2020-10-01
RCB,York Teaching Hospital NHS Foundation Trust,7276,2020-10-01
NKO,Yorkshire Health Solutions Ltd,255,2020-10-01
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9708,2020-09-01
R1H,Barts Health NHS Trust,30954,2020-09-01
NT405,BMI - Bishops Wood,21,2020-09-01
NT409,BMI - Chelsfield Park Hospital,24,2020-09-01
NT416,BMI - Hendon Hospital,21,2020-09-01
NT436,BMI - Shirley Oaks Hospital,14,2020-09-01
NT406,BMI - The Blackheath Hospital,55,2020-09-01
NT411,BMI - The Clementine Churchill Hospital,22,2020-09-01
NT421,BMI - The Kings Oak Hospital,15,2020-09-01
NT422,BMI - The London Independent Hospital,61,2020-09-01
NT437,BMI - The Sloane Hospital,0,2020-09-01
NT451,BMI The Cavell Hospital,14,2020-09-01
NQV,Bromley Healthcare,230,2020-09-01
RV3,Central and North West London NHS Foundation Trust,67,2020-09-01
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,10089,2020-09-01
RJ6,Croydon Health Services NHS Trust,9483,2020-09-01
RVR,Epsom and St Helier University Hospitals NHS Trust,11094,2020-09-01
RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,1838,2020-09-01
RJ1,Guy's and St Thomas' NHS Foundation Trust,11770,2020-09-01
RQX,Homerton University Hospital NHS Foundation Trust,5138,2020-09-01
RY9,Hounslow and Richmond Community Healthcare NHS Trust,159,2020-09-01
RYJ,Imperial College Healthcare NHS Trust,14668,2020-09-01
RJZ,King's College Hospital NHS Foundation Trust,13140,2020-09-01
RAX,Kingston Hospital NHS Foundation Trust,7538,2020-09-01
RJ2,Lewisham and Greenwich NHS Trust,16746,2020-09-01
R1K,London North West University Healthcare NHS Trust,8325,2020-09-01
RP6,Moorfields Eye Hospital NHS Foundation Trust,128,2020-09-01
NTP15,North East London Treatment Centre Care UK,360,2020-09-01
RAP,North Middlesex University Hospital NHS Trust,3958,2020-09-01
RT3,Royal Brompton & Harefield NHS Foundation Trust,386,2020-09-01
RAL,Royal Free London NHS Foundation Trust,15662,2020-09-01
RAN,Royal National Orthopaedic Hospital NHS Trust,2267,2020-09-01
RV5,South London and Maudsley NHS Foundation Trust,0,2020-09-01
NT314,Spire London East,176,2020-09-01
NT3X3,Spire St Anthony's Hospital,50,2020-09-01
RJ7,St George's University Hospitals NHS Foundation Trust,10246,2020-09-01
DK6,Surgimed Healthcare Ltd,16,2020-09-01
RAS,The Hillingdon Hospitals NHS Foundation Trust,5231,2020-09-01
RPY,The Royal Marsden NHS Foundation Trust,0,2020-09-01
RRV,University College London Hospitals NHS Foundation Trust,8895,2020-09-01
RKL,West London NHS Trust,511,2020-09-01
NVC0M,West Valley Hospital,51,2020-09-01
RKE,Whittington Health NHS Trust,3239,2020-09-01
NNV,Your Healthcare,5,2020-09-01
NT402,BMI - Bath Clinic,8,2020-09-01
NT419,BMI - The Harbour Hospital,1,2020-09-01
NT430,BMI - The Ridgeway Hospital,6,2020-09-01
NT443,BMI - The Winterbourne Hospital,8,2020-09-01
NX0,Chime Social Enterprise,1534,2020-09-01
NV302,Circle Bath Hospital,36,2020-09-01
RJ8,Cornwall Partnership NHS Foundation Trust,59,2020-09-01
NTPH3,Devizes NHS Treatment Centre,261,2020-09-01
RBD,Dorset County Hospital NHS Foundation Trust,4601,2020-09-01
RDY,Dorset Healthcare University NHS Foundation Trust,930,2020-09-01
NVC04,Duchy Hospital,26,2020-09-01
NGL,Echogenicity Limited,636,2020-09-01
NTPH2,Emersons Green NHS Treatment Centre,502,2020-09-01
NCL01,Express Diagnostics (Derriford),45,2020-09-01
RTQ,Gloucestershire Health and Care NHS Foundation Trust,60,2020-09-01
RTE,Gloucestershire Hospitals NHS Foundation Trust,9716,2020-09-01
NWV,GP Care UK Limited,707,2020-09-01
RN3,Great Western Hospitals NHS Foundation Trust,7707,2020-09-01
NXP,Independent Health Group,0,2020-09-01
NV11D,Inhealth - Prime Endoscopy Bristol,779,2020-09-01
NVC08,Mount Stuart Hospital,0,2020-09-01
NVC09,New Hall Hospital,29,2020-09-01
RVJ,North Bristol NHS Trust,11868,2020-09-01
RBZ,Northern Devon Healthcare NHS Trust,3375,2020-09-01
NT202,"Nuffield Health, Bournemouth Hospital",0,2020-09-01
NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",4,2020-09-01
NT211,"Nuffield Health, Cheltenham Hospital",0,2020-09-01
NT215,"Nuffield Health, Exeter Hospital",0,2020-09-01
NT238,"Nuffield Health, Taunton Hospital",0,2020-09-01
NTPH5,Peninsula NHS Treatment Centre,140,2020-09-01
NEF,Peninsula Ultrasound Limited,825,2020-09-01
RD3,Poole Hospital NHS Foundation Trust,2355,2020-09-01
REF,Royal Cornwall Hospitals NHS Trust,7032,2020-09-01
RH8,Royal Devon and Exeter NHS Foundation Trust,4709,2020-09-01
RD1,Royal United Hospitals Bath NHS Foundation Trust,11564,2020-09-01
RNZ,Salisbury NHS Foundation Trust,3478,2020-09-01
NTPH1,Shepton Mallet NHS Treatment Centre,189,2020-09-01
RH5,Somerset NHS Foundation Trust,6955,2020-09-01
NT302,Spire Bristol Hospital,17,2020-09-01
NQT5K,St Martins Hospital,341,2020-09-01
AAH,Tetbury Hospital Trust Ltd,0,2020-09-01
NFC01,The Outside Clinic HQ,723,2020-09-01
RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,4720,2020-09-01
RA9,Torbay and South Devon NHS Foundation Trust,3446,2020-09-01
DTM,Ultracardiac Ltd,223,2020-09-01
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,14924,2020-09-01
RK9,University Hospitals Plymouth NHS Trust,8179,2020-09-01
NVC22,Winfield Hospital,14,2020-09-01
RA4,Yeovil District Hospital NHS Foundation Trust,2014,2020-09-01
NWT,Action For Deafness,423,2020-09-01
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,7961,2020-09-01
NVC01,Ashtead Hospital,29,2020-09-01
NWF01,Benenden Hospital,0,2020-09-01
RWX,Berkshire Healthcare NHS Foundation Trust,280,2020-09-01
DN4,Berkshire West Community Endoscopy Service,0,2020-09-01
NT417,BMI - Goring Hall Hospital,4,2020-09-01
NT433,BMI - Sarum Road Hospital,0,2020-09-01
NT408,BMI - The Chaucer Hospital,7,2020-09-01
NT410,BMI - The Chiltern Hospital,7,2020-09-01
NT418,BMI - The Hampshire Clinic,5,2020-09-01
NT428,BMI - The Princess Margaret Hospital,0,2020-09-01
NT431,BMI - The Runnymede Hospital,1,2020-09-01
NT435,BMI - The Shelburne Hospital,0,2020-09-01
NT455,BMI Mount Alvernia Hospital,7,2020-09-01
RXH,Brighton and Sussex University Hospitals NHS Trust,8415,2020-09-01
RXQ,Buckinghamshire Healthcare NHS Trust,4282,2020-09-01
NV323,Circle Reading Hospital,180,2020-09-01
RN7,Dartford and Gravesham NHS Trust,6384,2020-09-01
NGD01,Diagnostic Ultrasound Services,0,2020-09-01
NNE,Dorking Healthcare Limited (DHC),117,2020-09-01
RVV,East Kent Hospitals University NHS Foundation Trust,16635,2020-09-01
RXC,East Sussex Healthcare NHS Trust,7983,2020-09-01
NVM,Epsomedical Group,160,2020-09-01
NDJ,First Community Health and Care CIC,254,2020-09-01
RDU,Frimley Health NHS Foundation Trust,11634,2020-09-01
ATK,GP Health Partners Ltd,134,2020-09-01
RN5,Hampshire Hospitals NHS Foundation Trust,6149,2020-09-01
NWX,Here,301,2020-09-01
NVC25,Horton NHS Treatment Centre,6,2020-09-01
NV1,Inhealth Limited,23037,2020-09-01
NHA,Insidevue Limited,60,2020-09-01
R1F,Isle of Wight NHS Trust,2224,2020-09-01
G82114,Ivy Court Surgery,0,2020-09-01
RYY,Kent Community Health NHS Foundation Trust,191,2020-09-01
ADP02,Kims Hospital (Newnham Court),97,2020-09-01
RWF,Maidstone and Tunbridge Wells NHS Trust,7454,2020-09-01
DC8,Medical Imaging Partnership Ltd,479,2020-09-01
RPA,Medway NHS Foundation Trust,5343,2020-09-01
NVC11,North Downs Hospital,16,2020-09-01
