Provider Parent Org Code,Provider Parent Name,Treatment Function Name,Total waiting > 52 weeks,Total waiting > 18 weeks
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Total,13960,53146
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Trauma & Orthopaedics,5389,12659
QMM,NORFOLK AND WAVENEY HEALTH & CARE PARTNERSHIP (STP),Urology,689,2855
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Cardiology,12,688
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Cardiothoracic Surgery,0,16
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Dermatology,11,298
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,"Ear, Nose & Throat (ENT)",625,1893
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Gastroenterology,50,1260
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,General Medicine,0,0
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,General Surgery,1070,4011
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Geriatric Medicine,0,1
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Gynaecology,196,1127
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Neurology,0,1458
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Neurosurgery,22,153
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Ophthalmology,164,1442
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Oral Surgery,459,922
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Other,271,2196
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Plastic Surgery,114,573
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Rheumatology,38,884
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Thoracic Medicine,64,703
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Total,4984,26486
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Trauma & Orthopaedics,1377,7058
QNC,STAFFORDSHIRE & STOKE ON TRENT STP,Urology,511,1803
QNQ,FRIMLEY HEALTH & CARE (STP),Cardiology,13,402
QNQ,FRIMLEY HEALTH & CARE (STP),Dermatology,15,1183
QNQ,FRIMLEY HEALTH & CARE (STP),"Ear, Nose & Throat (ENT)",63,966
QNQ,FRIMLEY HEALTH & CARE (STP),Gastroenterology,6,176
QNQ,FRIMLEY HEALTH & CARE (STP),General Medicine,0,32
QNQ,FRIMLEY HEALTH & CARE (STP),General Surgery,65,914
QNQ,FRIMLEY HEALTH & CARE (STP),Geriatric Medicine,0,3
QNQ,FRIMLEY HEALTH & CARE (STP),Gynaecology,19,466
QNQ,FRIMLEY HEALTH & CARE (STP),Neurology,3,328
QNQ,FRIMLEY HEALTH & CARE (STP),Ophthalmology,43,1002
QNQ,FRIMLEY HEALTH & CARE (STP),Oral Surgery,0,6
QNQ,FRIMLEY HEALTH & CARE (STP),Other,370,2547
QNQ,FRIMLEY HEALTH & CARE (STP),Plastic Surgery,37,330
QNQ,FRIMLEY HEALTH & CARE (STP),Rheumatology,1,231
QNQ,FRIMLEY HEALTH & CARE (STP),Thoracic Medicine,9,126
QNQ,FRIMLEY HEALTH & CARE (STP),Total,1251,14380
QNQ,FRIMLEY HEALTH & CARE (STP),Trauma & Orthopaedics,472,4489
QNQ,FRIMLEY HEALTH & CARE (STP),Urology,135,1179
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Cardiology,95,1754
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Cardiothoracic Surgery,9,107
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Dermatology,24,1139
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,"Ear, Nose & Throat (ENT)",1465,6523
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Gastroenterology,172,4148
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,General Medicine,6,292
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,General Surgery,1529,8974
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Geriatric Medicine,0,15
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Gynaecology,624,4190
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Neurology,44,1479
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Neurosurgery,242,697
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Ophthalmology,1328,9127
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Oral Surgery,926,3823
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Other,578,4390
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Plastic Surgery,762,2597
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Rheumatology,11,356
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Thoracic Medicine,7,502
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Total,10842,67801
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Trauma & Orthopaedics,2061,12748
QNX,SUSSEX HEALTH AND CARE PARTNERSHIP,Urology,959,4940
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Cardiology,12,884
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Cardiothoracic Surgery,0,0
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Dermatology,5,410
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,"Ear, Nose & Throat (ENT)",169,1317
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Gastroenterology,10,556
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,General Medicine,9,2112
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,General Surgery,545,2660
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Geriatric Medicine,1,92
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Gynaecology,152,1115
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Neurology,12,240
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Ophthalmology,951,4525
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Oral Surgery,515,1502
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Other,102,808
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Rheumatology,2,43
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Thoracic Medicine,10,509
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Total,4373,27928
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Trauma & Orthopaedics,1746,10193
QOC,SHROPSHIRE AND TELFORD AND WREKIN STP,Urology,132,962
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Cardiology,288,3536
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Cardiothoracic Surgery,66,429
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Dermatology,276,4088
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,"Ear, Nose & Throat (ENT)",4054,16328
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Gastroenterology,758,13586
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,General Medicine,437,2923
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,General Surgery,5242,17483
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Geriatric Medicine,0,461
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Gynaecology,4126,17974
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Neurology,104,1738
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Neurosurgery,539,2956
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Ophthalmology,2386,12912
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Oral Surgery,4738,13041
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Other,6723,33307
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Plastic Surgery,941,2757
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Rheumatology,43,1939
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Thoracic Medicine,18,820
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Total,38345,185764
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Trauma & Orthopaedics,4647,25622
QOP,GREATER MANCHESTER HEALTH & SOCIAL CARE PARTNERSHIP,Urology,2959,13864
QOQ,"HUMBER, COAST AND VALE STP",Cardiology,752,3840
QOQ,"HUMBER, COAST AND VALE STP",Cardiothoracic Surgery,91,333
QOQ,"HUMBER, COAST AND VALE STP",Dermatology,312,1662
QOQ,"HUMBER, COAST AND VALE STP","Ear, Nose & Throat (ENT)",3676,9700
QOQ,"HUMBER, COAST AND VALE STP",Gastroenterology,204,2317
QOQ,"HUMBER, COAST AND VALE STP",General Medicine,1,252
QOQ,"HUMBER, COAST AND VALE STP",General Surgery,2509,10678
QOQ,"HUMBER, COAST AND VALE STP",Geriatric Medicine,2,54
QOQ,"HUMBER, COAST AND VALE STP",Gynaecology,1649,5085
QOQ,"HUMBER, COAST AND VALE STP",Neurology,23,708
QOQ,"HUMBER, COAST AND VALE STP",Neurosurgery,357,1372
QOQ,"HUMBER, COAST AND VALE STP",Ophthalmology,2246,9144
QOQ,"HUMBER, COAST AND VALE STP",Oral Surgery,1526,4839
QOQ,"HUMBER, COAST AND VALE STP",Other,2024,8295
QOQ,"HUMBER, COAST AND VALE STP",Plastic Surgery,2064,4152
QOQ,"HUMBER, COAST AND VALE STP",Rheumatology,62,743
QOQ,"HUMBER, COAST AND VALE STP",Thoracic Medicine,262,1333
QOQ,"HUMBER, COAST AND VALE STP",Total,21913,80582
QOQ,"HUMBER, COAST AND VALE STP",Trauma & Orthopaedics,2674,10799
QOQ,"HUMBER, COAST AND VALE STP",Urology,1479,5276
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Cardiology,45,793
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Dermatology,89,885
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP","Ear, Nose & Throat (ENT)",613,3750
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Gastroenterology,59,2106
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",General Medicine,66,252
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",General Surgery,685,4041
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Geriatric Medicine,0,40
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Gynaecology,344,2226
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Neurology,0,342
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Ophthalmology,351,3910
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Oral Surgery,759,3882
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Other,111,1790
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Plastic Surgery,118,642
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Rheumatology,2,97
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Thoracic Medicine,52,441
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Total,5991,35679
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Trauma & Orthopaedics,2176,8169
QOX,"BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE STP",Urology,521,2313
QPM,NORTHAMPTONSHIRE STP,Cardiology,54,968
QPM,NORTHAMPTONSHIRE STP,Cardiothoracic Surgery,0,1
QPM,NORTHAMPTONSHIRE STP,Dermatology,51,463
QPM,NORTHAMPTONSHIRE STP,"Ear, Nose & Throat (ENT)",163,1797
QPM,NORTHAMPTONSHIRE STP,Gastroenterology,24,588
QPM,NORTHAMPTONSHIRE STP,General Medicine,0,114
QPM,NORTHAMPTONSHIRE STP,General Surgery,97,1671
QPM,NORTHAMPTONSHIRE STP,Geriatric Medicine,0,50
QPM,NORTHAMPTONSHIRE STP,Gynaecology,113,1047
QPM,NORTHAMPTONSHIRE STP,Neurology,0,71
QPM,NORTHAMPTONSHIRE STP,Neurosurgery,1,19
QPM,NORTHAMPTONSHIRE STP,Ophthalmology,163,1781
QPM,NORTHAMPTONSHIRE STP,Oral Surgery,246,1301
QPM,NORTHAMPTONSHIRE STP,Other,155,1983
QPM,NORTHAMPTONSHIRE STP,Plastic Surgery,5,151
QPM,NORTHAMPTONSHIRE STP,Rheumatology,0,188
QPM,NORTHAMPTONSHIRE STP,Thoracic Medicine,3,215
QPM,NORTHAMPTONSHIRE STP,Total,1502,15830
QPM,NORTHAMPTONSHIRE STP,Trauma & Orthopaedics,316,2393
QPM,NORTHAMPTONSHIRE STP,Urology,111,1029
QR1,GLOUCESTERSHIRE STP,Cardiology,11,933
QR1,GLOUCESTERSHIRE STP,Cardiothoracic Surgery,0,1
QR1,GLOUCESTERSHIRE STP,Dermatology,1,1132
QR1,GLOUCESTERSHIRE STP,"Ear, Nose & Throat (ENT)",76,1722
QR1,GLOUCESTERSHIRE STP,Gastroenterology,24,1693
QR1,GLOUCESTERSHIRE STP,General Medicine,0,13
QR1,GLOUCESTERSHIRE STP,General Surgery,16,408
QR1,GLOUCESTERSHIRE STP,Geriatric Medicine,0,0
QR1,GLOUCESTERSHIRE STP,Gynaecology,63,982
QR1,GLOUCESTERSHIRE STP,Neurology,0,135
QR1,GLOUCESTERSHIRE STP,Ophthalmology,139,1935
QR1,GLOUCESTERSHIRE STP,Oral Surgery,442,1982
QR1,GLOUCESTERSHIRE STP,Other,893,5754
QR1,GLOUCESTERSHIRE STP,Rheumatology,8,514
QR1,GLOUCESTERSHIRE STP,Thoracic Medicine,0,72
QR1,GLOUCESTERSHIRE STP,Total,3080,23744
QR1,GLOUCESTERSHIRE STP,Trauma & Orthopaedics,1378,5709
QR1,GLOUCESTERSHIRE STP,Urology,29,759
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Cardiology,96,1287
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Cardiothoracic Surgery,36,290
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Dermatology,49,1271
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,"Ear, Nose & Throat (ENT)",939,6524
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Gastroenterology,281,3339
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,General Medicine,15,487
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,General Surgery,836,5786
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Geriatric Medicine,0,24
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Gynaecology,545,4939
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Neurology,64,1156
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Neurosurgery,86,574
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Ophthalmology,1674,11177
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Oral Surgery,483,4474
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Other,1215,7721
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Plastic Surgery,6,167
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Rheumatology,4,263
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Thoracic Medicine,16,512
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Total,10440,69174
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Trauma & Orthopaedics,3024,14578
QRL,HAMPSHIRE AND THE ISLE OF WIGHT STP,Urology,1071,4605
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Cardiology,275,3095
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Cardiothoracic Surgery,14,375
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Dermatology,115,1218
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),"Ear, Nose & Throat (ENT)",1229,6555
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Gastroenterology,86,1852
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),General Medicine,4,56
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),General Surgery,1130,6362
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Geriatric Medicine,2,58
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Gynaecology,788,4972
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Neurology,74,1218
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Neurosurgery,175,1178
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Ophthalmology,141,1937
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Oral Surgery,432,1563
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Other,1983,13125
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Plastic Surgery,170,1302
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Rheumatology,55,863
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Thoracic Medicine,2,1443
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Total,8571,58888
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Trauma & Orthopaedics,1535,8008
QRV,NORTH WEST LONDON HEALTH & CARE PARTNERSHIP (STP),Urology,361,3708
QSL,SOMERSET STP,Cardiology,20,497
QSL,SOMERSET STP,Cardiothoracic Surgery,0,8
QSL,SOMERSET STP,Dermatology,16,78
QSL,SOMERSET STP,"Ear, Nose & Throat (ENT)",387,2078
QSL,SOMERSET STP,Gastroenterology,50,533
QSL,SOMERSET STP,General Medicine,1,47
QSL,SOMERSET STP,General Surgery,606,2657
QSL,SOMERSET STP,Geriatric Medicine,3,61
QSL,SOMERSET STP,Gynaecology,181,1063
QSL,SOMERSET STP,Neurology,62,771
QSL,SOMERSET STP,Ophthalmology,1195,3950
QSL,SOMERSET STP,Other,795,2462
QSL,SOMERSET STP,Plastic Surgery,8,73
QSL,SOMERSET STP,Rheumatology,25,328
QSL,SOMERSET STP,Thoracic Medicine,11,252
QSL,SOMERSET STP,Total,4348,19952
QSL,SOMERSET STP,Trauma & Orthopaedics,803,4282
QSL,SOMERSET STP,Urology,185,812
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Cardiology,92,1432
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Cardiothoracic Surgery,12,131
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Dermatology,3,732
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,"Ear, Nose & Throat (ENT)",852,5935
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Gastroenterology,62,1769
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,General Medicine,0,2
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,General Surgery,375,2168
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Geriatric Medicine,0,59
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Gynaecology,161,2186
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Neurology,0,24
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Neurosurgery,28,255
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Ophthalmology,895,8499
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Oral Surgery,209,1693
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Other,497,4144
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Plastic Surgery,16,240
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Rheumatology,3,432
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Thoracic Medicine,42,1007
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Total,4619,40759
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Trauma & Orthopaedics,1071,8084
QT1,NOTTINGHAM AND NOTTINGHAMSHIRE HEALTH AND CARE STP,Urology,301,1967
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Cardiology,20,363
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Dermatology,3,183
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),"Ear, Nose & Throat (ENT)",66,908
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Gastroenterology,5,204
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),General Medicine,0,0
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),General Surgery,68,580
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Geriatric Medicine,1,27
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Gynaecology,0,277
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Neurology,3,271
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Ophthalmology,63,1131
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Oral Surgery,36,1521
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Other,103,1413
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Rheumatology,0,100
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Thoracic Medicine,1,32
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Total,1163,11525
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Trauma & Orthopaedics,551,3493
QT6,CORNWALL AND THE ISLES OF SCILLY HEALTH & SOCIAL CARE PARTNERSHIP (STP),Urology,243,1022
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Cardiology,6,338
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Cardiothoracic Surgery,0,14
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Dermatology,25,879
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP","Ear, Nose & Throat (ENT)",3060,7672
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Gastroenterology,110,6375
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",General Medicine,4,286
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",General Surgery,793,4225
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Geriatric Medicine,0,51
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Gynaecology,306,2847
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Neurology,26,895
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Neurosurgery,80,391
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Ophthalmology,4020,10617
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Oral Surgery,332,1228
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Other,1880,7873
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Plastic Surgery,882,2330
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Rheumatology,20,1047
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Thoracic Medicine,4,252
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Total,14729,62179
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Trauma & Orthopaedics,2742,11141
QU9,"BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST STP",Urology,439,3718
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Cardiology,151,1613
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Cardiothoracic Surgery,0,51
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Dermatology,114,2496
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,"Ear, Nose & Throat (ENT)",189,3456
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Gastroenterology,31,2092
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,General Medicine,1,10
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,General Surgery,361,5039
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Geriatric Medicine,0,34
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Gynaecology,176,2592
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Neurology,9,292
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Ophthalmology,744,5187
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Oral Surgery,355,4376
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Other,345,5147
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Plastic Surgery,28,490
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Rheumatology,5,571
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Thoracic Medicine,3,276
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Total,3381,43441
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Trauma & Orthopaedics,409,5382
QUA,THE BLACK COUNTRY AND WEST BIRMINGHAM STP,Urology,460,4337
QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,Cardiology,51,1410
QUE,CAMBRIDGESHIRE AND PETERBOROUGH STP,Cardiothoracic Surgery,0,174
