org_code,standard,total_treated,within_standard,breaches
RP5,62 Days (Screening),11.5,11,0.5
RP5,62 Days (Upgrade),16,12,4
RP6,2 week wait,2,2,0
RP6,31 Days,34,34,0
RP6,31 Days Sub (Surgery),3,3,0
RPA,2 week wait,565,524,41
RPA,2WW Breast,33,31,2
RPA,31 Days,220,214,6
RPA,31 Days Sub (Drugs),24,22,2
RPA,31 Days Sub (Surgery),23,23,0
RPA,62 Days,135,103,32
RPA,62 Days (Screening),18,12.5,5.5
RPA,62 Days (Upgrade),20,17,3
RPC,2 week wait,111,93,18
RPC,31 Days,110,108,2
RPC,31 Days Sub (Surgery),18,18,0
RPC,62 Days,43,39,4
RPC,62 Days (Upgrade),7.5,6.5,1
RPY,2 week wait,270,255,15
RPY,2WW Breast,56,53,3
RPY,31 Days,366,356,10
RPY,31 Days Sub (Drugs),158,155,3
RPY,31 Days Sub (Radio),198,189,9
RPY,31 Days Sub (Surgery),54,45,9
RPY,62 Days,108,84,24
RPY,62 Days (Screening),3.5,3.5,0
RPY,62 Days (Upgrade),10,7.5,2.5
RQ3,2 week wait,89,80,9
RQ3,31 Days,42,42,0
RQ3,31 Days Sub (Drugs),7,7,0
RQ3,31 Days Sub (Surgery),15,15,0
RQ3,62 Days,13,10,3
RQ3,62 Days (Screening),1,1,0
RQ3,62 Days (Upgrade),2,2,0
RQM,2 week wait,609,566,43
RQM,2WW Breast,18,18,0
RQM,31 Days,164,156,8
RQM,31 Days Sub (Drugs),2,2,0
RQM,31 Days Sub (Surgery),1,1,0
RQM,62 Days,114,77,37
RQM,62 Days (Screening),2,0,2
RQM,62 Days (Upgrade),33.5,25.5,8
RQW,2 week wait,601,526,75
RQW,2WW Breast,62,57,5
RQW,31 Days,118,112,6
RQW,31 Days Sub (Drugs),45,45,0
RQW,31 Days Sub (Surgery),10,9,1
RQW,62 Days,62,36,26
RQW,62 Days (Screening),2,1,1
RQW,62 Days (Upgrade),29,26,3
RQX,2 week wait,460,404,56
RQX,2WW Breast,35,24,11
RQX,31 Days,84,82,2
RQX,31 Days Sub (Surgery),5,5,0
RQX,62 Days,54,52,2
RQX,62 Days (Screening),0.5,0,0.5
RQX,62 Days (Upgrade),23,20,3
RR7,2 week wait,336,282,54
RR7,2WW Breast,4,4,0
RR7,31 Days,132,130,2
RR7,31 Days Sub (Drugs),50,50,0
RR7,31 Days Sub (Surgery),17,17,0
RR7,62 Days,78,57,21
RR7,62 Days (Screening),4.5,3.5,1
RR7,62 Days (Upgrade),0.5,0.5,0
RR8,2 week wait,1169,983,186
RR8,2WW Breast,78,71,7
RR8,31 Days,848,808,40
RR8,31 Days Sub (Drugs),239,238,1
RR8,31 Days Sub (Radio),322,321,1
RR8,31 Days Sub (Surgery),113,101,12
RR8,62 Days,306,230,76
RR8,62 Days (Screening),33,27.5,5.5
RR8,62 Days (Upgrade),104.5,82.5,22
RRF,2 week wait,482,426,56
RRF,2WW Breast,29,24,5
RRF,31 Days,128,128,0
RRF,31 Days Sub (Drugs),20,20,0
RRF,31 Days Sub (Surgery),9,9,0
RRF,62 Days,83,64,19
RRF,62 Days (Screening),17,16,1
RRF,62 Days (Upgrade),19.5,18,1.5
RRJ,2 week wait,47,47,0
RRJ,31 Days,42,40,2
RRJ,31 Days Sub (Surgery),15,15,0
RRJ,62 Days,18,18,0
RRJ,62 Days (Upgrade),10.5,9.5,1
RRK,2 week wait,1083,681,402
RRK,2WW Breast,117,81,36
RRK,31 Days,836,736,100
RRK,31 Days Sub (Drugs),82,82,0
RRK,31 Days Sub (Radio),260,250,10
RRK,31 Days Sub (Surgery),78,65,13
RRK,62 Days,400,204,196
RRK,62 Days (Screening),29,23,6
RRK,62 Days (Upgrade),116,82.5,33.5
RRV,2 week wait,347,286,61
RRV,2WW Breast,42,7,35
RRV,31 Days,312,306,6
RRV,31 Days Sub (Drugs),31,30,1
RRV,31 Days Sub (Radio),69,68,1
RRV,31 Days Sub (Surgery),19,16,3
RRV,62 Days,104,69,35
RRV,62 Days (Screening),4.5,3.5,1
RRV,62 Days (Upgrade),7,6,1
RT3,31 Days,44,44,0
RT3,31 Days Sub (Surgery),13,13,0
RT3,62 Days,4,4,0
RT3,62 Days (Upgrade),3.5,3,0.5
RTD,2 week wait,790,650,140
RTD,2WW Breast,53,24,29
RTD,31 Days,666,604,62
RTD,31 Days Sub (Drugs),63,61,2
RTD,31 Days Sub (Radio),252,244,8
RTD,31 Days Sub (Surgery),102,89,13
RTD,62 Days,274,197,77
RTD,62 Days (Screening),13.5,10.5,3
RTD,62 Days (Upgrade),9.5,3.5,6
RTE,2 week wait,882,799,83
RTE,2WW Breast,32,28,4
RTE,31 Days,580,562,18
RTE,31 Days Sub (Drugs),78,78,0
RTE,31 Days Sub (Radio),71,70,1
RTE,31 Days Sub (Surgery),57,56,1
RTE,62 Days,352,278,74
RTE,62 Days (Screening),27.5,25,2.5
RTE,62 Days (Upgrade),7.5,7.5,0
RTF,2 week wait,719,634,85
RTF,2WW Breast,4,4,0
RTF,31 Days,294,292,2
RTF,31 Days Sub (Drugs),10,10,0
RTF,31 Days Sub (Surgery),9,8,1
RTF,62 Days,181,156,25
RTF,62 Days (Screening),4.5,0.5,4
RTF,62 Days (Upgrade),9.5,8.5,1
RTG,2 week wait,1043,977,66
RTG,2WW Breast,44,37,7
RTG,31 Days,430,416,14
RTG,31 Days Sub (Drugs),93,88,5
RTG,31 Days Sub (Radio),52,48,4
RTG,31 Days Sub (Surgery),19,19,0
RTG,62 Days,227,165,62
RTG,62 Days (Screening),1,1,0
RTG,62 Days (Upgrade),25,18,7
RTH,2 week wait,756,703,53
RTH,2WW Breast,50,41,9
RTH,31 Days,642,626,16
RTH,31 Days Sub (Drugs),153,152,1
RTH,31 Days Sub (Radio),181,175,6
RTH,31 Days Sub (Surgery),108,102,6
RTH,62 Days,285,219,66
RTH,62 Days (Screening),7.5,5,2.5
RTH,62 Days (Upgrade),7,4,3
RTK,2 week wait,513,481,32
RTK,2WW Breast,39,38,1
RTK,31 Days,164,158,6
RTK,31 Days Sub (Drugs),17,17,0
RTK,31 Days Sub (Surgery),9,9,0
RTK,62 Days,107,92,15
RTK,62 Days (Screening),7,7,0
RTK,62 Days (Upgrade),2.5,0,2.5
RTP,2 week wait,867,646,221
RTP,2WW Breast,57,14,43
RTP,31 Days,180,170,10
RTP,31 Days Sub (Drugs),10,10,0
RTP,31 Days Sub (Surgery),12,12,0
RTP,62 Days,128,94,34
RTP,62 Days (Screening),2.5,1,1.5
RTP,62 Days (Upgrade),1,1,0
RTR,2 week wait,377,345,32
RTR,31 Days,380,354,26
RTR,31 Days Sub (Drugs),41,39,2
RTR,31 Days Sub (Radio),134,125,9
RTR,31 Days Sub (Surgery),20,17,3
RTR,62 Days,241,165,76
RTR,62 Days (Screening),3,1.5,1.5
RTR,62 Days (Upgrade),10,9,1
RTX,2 week wait,522,452,70
RTX,2WW Breast,12,3,9
RTX,31 Days,252,244,8
RTX,31 Days Sub (Drugs),39,39,0
RTX,31 Days Sub (Surgery),13,11,2
RTX,62 Days,154,124,30
RTX,62 Days (Screening),7.5,7.5,0
RTX,62 Days (Upgrade),43,39,4
RVJ,2 week wait,1063,808,255
RVJ,2WW Breast,16,13,3
RVJ,31 Days,426,396,30
RVJ,31 Days Sub (Drugs),10,10,0
RVJ,31 Days Sub (Surgery),99,75,24
RVJ,62 Days,238,175,63
RVJ,62 Days (Screening),33.5,28.5,5
RVJ,62 Days (Upgrade),64,51.5,12.5
RVR,2 week wait,531,510,21
RVR,31 Days,146,142,4
RVR,31 Days Sub (Surgery),3,3,0
RVR,62 Days,116,95,21
RVR,62 Days (Screening),2,2,0
RVR,62 Days (Upgrade),17.5,15,2.5
RVV,2 week wait,1238,1198,40
RVV,2WW Breast,22,22,0
RVV,31 Days,626,622,4
RVV,31 Days Sub (Drugs),83,83,0
RVV,31 Days Sub (Surgery),72,70,2
RVV,62 Days,380,297,83
RVV,62 Days (Screening),27,27,0
RVV,62 Days (Upgrade),6.5,5.5,1
RVW,2 week wait,450,410,40
RVW,2WW Breast,20,16,4
RVW,31 Days,186,172,14
RVW,31 Days Sub (Drugs),48,48,0
RVW,31 Days Sub (Surgery),10,8,2
RVW,62 Days,99,84,15
RVW,62 Days (Screening),25,22.5,2.5
RVW,62 Days (Upgrade),6,6,0
RVY,2 week wait,317,308,9
RVY,31 Days,116,108,8
RVY,62 Days,91,64,27
RVY,62 Days (Screening),2,2,0
RVY,62 Days (Upgrade),27,24,3
RW6,2 week wait,1438,1114,324
RW6,2WW Breast,47,45,2
RW6,31 Days,402,398,4
RW6,31 Days Sub (Drugs),8,8,0
RW6,31 Days Sub (Surgery),20,20,0
RW6,62 Days,293,193,100
RW6,62 Days (Screening),3.5,1.5,2
RW6,62 Days (Upgrade),79,60,19
RWA,2 week wait,666,619,47
RWA,2WW Breast,31,25,6
RWA,31 Days,618,600,18
RWA,31 Days Sub (Drugs),43,43,0
RWA,31 Days Sub (Radio),137,130,7
RWA,31 Days Sub (Surgery),54,47,7
RWA,62 Days,281,199,82
RWA,62 Days (Screening),33,20,13
RWA,62 Days (Upgrade),3,2,1
RWD,2 week wait,1078,912,166
RWD,2WW Breast,84,58,26
RWD,31 Days,514,496,18
RWD,31 Days Sub (Drugs),104,104,0
RWD,31 Days Sub (Radio),108,103,5
RWD,31 Days Sub (Surgery),49,44,5
RWD,62 Days,292,193,99
RWD,62 Days (Screening),16,13,3
RWD,62 Days (Upgrade),71.5,52.5,19
RWE,2 week wait,1268,1078,190
RWE,2WW Breast,86,81,5
RWE,31 Days,702,660,42
RWE,31 Days Sub (Drugs),93,93,0
RWE,31 Days Sub (Radio),106,62,44
RWE,31 Days Sub (Surgery),59,43,16
RWE,62 Days,387,249,138
RWE,62 Days (Screening),14,13,1
RWE,62 Days (Upgrade),53.5,39.5,14
RWF,2 week wait,506,474,32
RWF,2WW Breast,37,34,3
RWF,31 Days,352,340,12
RWF,31 Days Sub (Drugs),56,55,1
RWF,31 Days Sub (Radio),203,194,9
RWF,31 Days Sub (Surgery),22,22,0
RWF,62 Days,182,156,26
RWF,62 Days (Screening),11,10,1
RWF,62 Days (Upgrade),11.5,7.5,4
RWG,2 week wait,414,394,20
RWG,2WW Breast,17,17,0
RWG,31 Days,254,250,4
RWG,31 Days Sub (Drugs),38,38,0
RWG,31 Days Sub (Surgery),15,14,1
RWG,62 Days,154,106,48
RWG,62 Days (Screening),11,9,2
RWG,62 Days (Upgrade),9,6.5,2.5
RWH,2 week wait,703,687,16
RWH,2WW Breast,29,23,6
RWH,31 Days,430,424,6
RWH,31 Days Sub (Drugs),168,168,0
RWH,31 Days Sub (Radio),278,274,4
RWH,31 Days Sub (Surgery),36,34,2
RWH,62 Days,213,186,27
RWH,62 Days (Screening),6.5,2.5,4
RWH,62 Days (Upgrade),13.5,9.5,4
RWJ,2 week wait,379,331,48
RWJ,31 Days,110,110,0
RWJ,31 Days Sub (Drugs),3,3,0
RWJ,31 Days Sub (Surgery),3,3,0
RWJ,62 Days,73,50,23
RWJ,62 Days (Upgrade),25.5,18,7.5
RWP,2 week wait,642,578,64
RWP,2WW Breast,13,13,0
RWP,31 Days,504,492,12
RWP,31 Days Sub (Drugs),37,37,0
RWP,31 Days Sub (Radio),60,57,3
RWP,31 Days Sub (Surgery),39,34,5
RWP,62 Days,287,175,112
RWP,62 Days (Screening),18,13,5
RWP,62 Days (Upgrade),52.5,50.5,2
RWW,2 week wait,394,369,25
RWW,2WW Breast,10,8,2
RWW,31 Days,134,130,4
RWW,31 Days Sub (Drugs),9,9,0
RWW,31 Days Sub (Radio),1,1,0
RWW,31 Days Sub (Surgery),7,7,0
RWW,62 Days,77,69,8
RWW,62 Days (Screening),12,12,0
RWW,62 Days (Upgrade),7,7,0
RWY,2 week wait,624,613,11
RWY,2WW Breast,22,22,0
RWY,31 Days,336,334,2
RWY,31 Days Sub (Drugs),47,47,0
RWY,31 Days Sub (Surgery),33,32,1
RWY,62 Days,212,198,14
RWY,62 Days (Screening),8.5,6,2.5
RWY,62 Days (Upgrade),4,4,0
RX1,2 week wait,1061,885,176
RX1,2WW Breast,27,20,7
RX1,31 Days,772,728,44
RX1,31 Days Sub (Drugs),97,94,3
RX1,31 Days Sub (Radio),78,77,1
RX1,31 Days Sub (Surgery),144,128,16
RX1,62 Days,350,258,92
RX1,62 Days (Screening),16.5,9,7.5
RX1,62 Days (Upgrade),67.5,58,9.5
RXC,2 week wait,621,587,34
RXC,2WW Breast,42,40,2
RXC,31 Days,364,356,8
RXC,31 Days Sub (Drugs),29,29,0
RXC,31 Days Sub (Surgery),12,12,0
RXC,62 Days,242,185,57
RXC,62 Days (Screening),15,11,4
RXC,62 Days (Upgrade),20.5,13.5,7
RXF,2 week wait,913,853,60
RXF,2WW Breast,58,56,2
RXF,31 Days,570,554,16
RXF,31 Days Sub (Drugs),68,68,0
RXF,31 Days Sub (Surgery),39,36,3
RXF,62 Days,335,266,69
RXF,62 Days (Screening),11,9.5,1.5
RXF,62 Days (Upgrade),33.5,27.5,6
RXH,2 week wait,956,775,181
RXH,2WW Breast,40,35,5
RXH,31 Days,368,364,4
RXH,31 Days Sub (Drugs),78,78,0
RXH,31 Days Sub (Radio),170,162,8
RXH,31 Days Sub (Surgery),24,23,1
RXH,62 Days,206,147,59
RXH,62 Days (Screening),21,14,7
RXH,62 Days (Upgrade),7,6,1
RXK,2 week wait,572,535,37
RXK,2WW Breast,26,24,2
RXK,31 Days,176,166,10
RXK,31 Days Sub (Drugs),5,5,0
RXK,31 Days Sub (Surgery),14,13,1
RXK,62 Days,81,58,23
RXK,62 Days (Screening),15.5,13,2.5
RXK,62 Days (Upgrade),22,21,1
RXL,2 week wait,557,496,61
RXL,2WW Breast,19,14,5
RXL,31 Days,318,306,12
RXL,31 Days Sub (Drugs),21,21,0
RXL,31 Days Sub (Surgery),20,15,5
RXL,62 Days,176,112,64
RXL,62 Days (Screening),7.5,4.5,3
RXL,62 Days (Upgrade),57,47,10
RXN,2 week wait,703,680,23
RXN,2WW Breast,24,20,4
RXN,31 Days,458,422,36
RXN,31 Days Sub (Drugs),60,58,2
RXN,31 Days Sub (Radio),142,142,0
RXN,31 Days Sub (Surgery),64,60,4
RXN,62 Days,244,168,76
RXN,62 Days (Screening),1.5,1,0.5
RXN,62 Days (Upgrade),45.5,37,8.5
RXP,2 week wait,815,668,147
RXP,2WW Breast,66,47,19
RXP,31 Days,280,278,2
RXP,31 Days Sub (Drugs),4,4,0
RXP,31 Days Sub (Surgery),18,17,1
RXP,62 Days,191,161,30
RXP,62 Days (Screening),4,3,1
RXP,62 Days (Upgrade),5,5,0
RXQ,2 week wait,656,543,113
RXQ,2WW Breast,70,33,37
RXQ,31 Days,258,244,14
RXQ,31 Days Sub (Drugs),35,34,1
RXQ,31 Days Sub (Radio),1,1,0
RXQ,31 Days Sub (Surgery),39,33,6
RXQ,62 Days,156,106,50
RXQ,62 Days (Screening),8,8,0
RXQ,62 Days (Upgrade),18.5,12,6.5
RXR,2 week wait,711,600,111
RXR,2WW Breast,57,57,0
RXR,31 Days,306,304,2
RXR,31 Days Sub (Drugs),57,56,1
RXR,31 Days Sub (Surgery),34,31,3
RXR,62 Days,175,136,39
RXR,62 Days (Screening),7.5,6,1.5
RXR,62 Days (Upgrade),40.5,36.5,4
RXW,2 week wait,851,696,155
RXW,2WW Breast,42,28,14
RXW,31 Days,406,400,6
RXW,31 Days Sub (Drugs),48,48,0
RXW,31 Days Sub (Radio),79,78,1
RXW,31 Days Sub (Surgery),44,44,0
RXW,62 Days,226,157,69
RXW,62 Days (Screening),21,17,4
RXW,62 Days (Upgrade),54,48.5,5.5
RY2,2 week wait,51,51,0
RY2,31 Days,16,16,0
RY2,62 Days,15,13,2
RY2,62 Days (Upgrade),2,2,0
RYJ,2 week wait,767,712,55
RYJ,2WW Breast,6,5,1
RYJ,31 Days,338,328,10
RYJ,31 Days Sub (Drugs),94,93,1
RYJ,31 Days Sub (Radio),101,99,2
RYJ,31 Days Sub (Surgery),46,44,2
RYJ,62 Days,156,130,26
RYJ,62 Days (Screening),9,7,2
RYJ,62 Days (Upgrade),10,6,4
RYR,2 week wait,790,722,68
RYR,2WW Breast,38,30,8
RYR,31 Days,404,384,20
RYR,31 Days Sub (Drugs),14,14,0
RYR,31 Days Sub (Radio),1,1,0
RYR,31 Days Sub (Surgery),9,9,0
RYR,62 Days,268,202,66
RYR,62 Days (Screening),27,25,2
RYR,62 Days (Upgrade),12,12,0
